DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES
ARG;BOG;20;145,6;617176,6
ARG;BOG;0,01;32,62;138271,3
ARG;BOG;0,01;73,85;313039,1
ARG;BOG;5;43,05;182482,5
ARG;BOG;0,1;850;3603022,5
ARG;BOG;2,9;36;152598,6
ARG;BOG;8;734,15;3111951,7
ARG;BOG;1;44,56;188883,2
ARG;BOG;0,01;1297;5497788,5
ARG;BOG;0,1;28,46;120637,7
ARG;BOG;1;143;606155,6
ARG;BOG;10;32,1;136067,1
ARG;BOG;4;34,84;147681,5
ARG;BOG;10;10,8;45779,6
ARG;BOG;3;73,64;310914,7
ARG;BOG;1300;78;331663,0
ARG;BOG;1,7;172,26;732465,0
ARG;BOG;72;61,56;261758,7
ARG;BOG;12;2970,64;12438099,4
ARG;BOG;17075;2236,83;9293894,4
ARG;BOG;760;471,2;1957807,7
ARG;BOG;18625;5550,5;23549887,4
ARG;BOG;4200;462;1934398,6
ARG;BOG;355;304,5;1274944,5
ARG;BOG;3240;670,4;2848529,6
ARG;BOG;2;881,68;3867630,4
ARG;BOG;179;17467,27;75018283,4
ARG;BOG;2;64,64;283553,7
ARG;BOG;1;99,83;404686,9
ARG;BOG;896800;44815,09;187408241,5
ARG;BOG;1;2285;10023518,1
ARG;BOG;60000;5151,6;21746912,7
ARG;BOG;0,21;214,34;868882,9
ARG;BOG;69;3284,22;13313439,7
ARG;BOG;1;214,57;869815,3
ARG;BOG;155;11081,76;44922795,4
ARG;BOG;24;1404,95;5695330,1
ARG;BOG;12;137,15;555973,2
ARG;BOG;2024,28;1463556,66;6197042738,0
AUS;BOG;216960;38244,17;161422463,2
AUS;BOG;19600;5467;23042655,8
AUS;BOG;22000;2200;9288598,0
AUS;BOG;8100;4860;20560764,6
AUS;BOG;335;223;942708,0
AUS;BOG;1500;315;1329958,4
AUS;BOG;5400;1134;4787850,1
AUS;BOG;7150;2431;10663970,5
AUS;BOG;33600;5880;23877680,4
AUS;BOG;16850;3370;14783044,2
AUS;BOG;60770;11638,3;47178875,0
AUS;BOG;2988;3002,4;13170508,0
AUS;BOG;40;84;368479,4
AUS;BOG;500;20;84639,4
AUS;BOG;140;464,8;1967019,7
AUS;BOG;367;10110,74;42772880,1
AUS;BOG;5;165,59;700771,9
AUS;BOG;189;1392,88;5911294,7
AUS;BOG;4;14,96;60644,2
AUS;BOG;1;1,22;5318,5
AUS;BOG;149;1940,82;8222110,0
AUS;BOG;208;6935,01;29349317,5
AUS;BOG;2791;63011,27;266799588,8
AUS;BOG;254;3849,82;16768330,7
AUS;BOG;704;18134,8;75409223,0
AUS;BOG;3750;65651,12;276585352,8
AUS;BOG;150;1714;7201422,4
AUS;BOG;200;782,1;3430806,8
AUS;BOG;293,2;23040;101068646,4
AUS;BOG;3,96;414,97;1820332,3
AUS;BOG;1650;313,5;1270853,8
AUS;BOG;1000;180;753661,8
AUS;BOG;20800;7687,75;32689004,9
AUS;BOG;16;29805;130010271,9
AUS;BOG;5;750;3045622,5
AUS;BOG;4450;801;3386139,4
AUS;BOG;49,5;173810,33;762446822,2
AUS;BOG;0,02;20;82412,4
AUS;BOG;35675;8596,5;36289179,1
AUS;BOG;640;896;3782365,4
AUS;BOG;630;1113,6;4700939,9
AUS;BOG;1725;2987,25;12610347,3
AUS;BOG;20700;2958;12486871,6
AUS;BOG;2400;504;2127580,6
AUS;BOG;1340;1130,6;4772703,5
AUS;BOG;47,6;532;2245779,5
AUS;BOG;24;80,4;341619,6
AUS;BOG;216308;52742,39;222879777,3
AUS;BOG;28500;5890,5;24866097,8
AUS;BOG;45000;8855;36791993,7
AUS;BOG;1620;820,8;3490115,5
AUS;BOG;5670;1795,8;7635903,2
AUS;BOG;92;1325;5581562,5
AUS;BOG;20775;4729;20014696,2
AUS;BOG;107;697;3038501,8
AUS;BOG;7750;1472,5;6261202,5
AUS;BOG;450;292,5;1228947,5
AUS;BOG;100;363986,72;1525817517,0
AUS;BOG;744;18677,67;79361419,8
AUT;BOG;12480;2121,6;9014678,4
AUT;BOG;34560;5875,2;24963724,8
AUT;BOG;19152;3700,96;15736815,0
AUT;BOG;72240;10598,2;45031751,8
AUT;BOG;520;99,2;421500,8
AUT;BOG;22890;4132,4;17558567,6
AUT;BOG;28960;4614,4;19604114,0
AUT;BOG;97860;15101;64154490,6
AUT;BOG;240;48;203952,0
AUT;BOG;16270;2974,8;12639925,2
AUT;BOG;175;3463,25;14715349,3
AZE;BOG;9140;5970,97;25304194,5
